tau,Admm,Apgd,Bgs,BlockedJacobi,BoxedSemiSmoothNewton,Dantzig,Jacobi,Nncg,Pgs,RedBlackGaussSeidel,Sap,Staggering,SubspaceMinimization,SymmetricPsor,Tgs
8.7789,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.8241,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.8693,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.9146,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.9598,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.0050,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.0503,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.0955,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.1407,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.1859,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.2312,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.2764,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.3216,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.3668,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.4121,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.4573,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.5025,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.5477,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.5930,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.6382,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.6834,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.7286,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.7739,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.8191,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.8643,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.9095,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.9548,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
10.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
